cgpa,internships,projects,certifications,hackathons,aptitude_score,communication_score,branch,degree,skills,resume_text,placed
7.09,2,3,1,2,59.3,55.3,ECE,BCA,"linux, opencv, python, tableau, xgboost","Built projects using linux, opencv, python, tableau, xgboost. Completed 3 projects, 2 internships, and worked on model evaluation.",0
7.48,3,0,1,1,42.6,69.0,ME,B.Tech,"excel, feature engineering, java, nlp, scikit-learn, sql, statistics, streamlit","Built projects using excel, feature engineering, java, nlp, scikit-learn, sql. Completed 0 projects, 3 internships, and worked on model evaluation.",1
8.92,1,1,0,0,67.3,59.7,CSE,M.Tech,"cloud, fastapi, git, java, nlp, numpy, streamlit","Built projects using cloud, fastapi, git, java, nlp, numpy. Completed 1 projects, 1 internships, and worked on model evaluation.",0
4.85,1,2,1,0,66.5,63.8,EEE,M.Tech,"deep learning, opencv, pandas, python, scikit-learn, statistics","Built projects using deep learning, opencv, pandas, python, scikit-learn, statistics. Completed 2 projects, 1 internships, and worked on model evaluation.",0
5.7,2,3,1,1,73.2,50.2,IT,BCA,"data cleaning, deep learning, feature engineering, java, numpy, opencv, python, tableau, xgboost","Built projects using data cleaning, deep learning, feature engineering, java, numpy, opencv. Completed 3 projects, 2 internships, and worked on model evaluation.",0
5.83,3,2,3,1,24.5,76.0,AI&DS,B.Sc,"data cleaning, git, python, scikit-learn, sql, statistics","Built projects using data cleaning, git, python, scikit-learn, sql, statistics. Completed 2 projects, 3 internships, and worked on model evaluation.",0
7.63,0,3,2,3,67.4,67.6,EEE,B.Tech,"java, streamlit","Built projects using java, streamlit. Completed 3 projects, 0 internships, and worked on model evaluation.",0
5.75,0,8,3,0,57.7,34.8,EEE,M.Tech,"docker, fastapi, opencv, pandas","Built projects using docker, fastapi, opencv, pandas. Completed 8 projects, 0 internships, and worked on model evaluation.",0
7.15,1,0,2,0,96.5,38.6,ME,M.Tech,"data cleaning, excel, linux, model deployment, scikit-learn, tableau","Built projects using data cleaning, excel, linux, model deployment, scikit-learn, tableau. Completed 0 projects, 1 internships, and worked on model evaluation.",0
7.9,1,3,0,2,51.2,49.4,ME,MCA,"java, linux, numpy, sql, streamlit","Built projects using java, linux, numpy, sql, streamlit. Completed 3 projects, 1 internships, and worked on model evaluation.",0
6.91,2,3,2,0,66.7,74.2,EEE,B.Tech,"deep learning, git, machine learning, model deployment, pandas, python, sql, statistics, tableau, xgboost","Built projects using deep learning, git, machine learning, model deployment, pandas, python. Completed 3 projects, 2 internships, and worked on model evaluation.",1
7.1,1,4,3,0,70.6,45.3,IT,B.Sc,"fastapi, numpy, sql","Built projects using fastapi, numpy, sql. Completed 4 projects, 1 internships, and worked on model evaluation.",0
7.92,1,4,0,0,73.2,57.2,ECE,M.Tech,"excel, feature engineering, model deployment, sql, statistics, xgboost","Built projects using excel, feature engineering, model deployment, sql, statistics, xgboost. Completed 4 projects, 1 internships, and worked on model evaluation.",0
8.39,1,3,2,1,71.6,57.7,ECE,B.Sc,"linux, machine learning, power bi, python, streamlit","Built projects using linux, machine learning, power bi, python, streamlit. Completed 3 projects, 1 internships, and worked on model evaluation.",0
8.24,3,4,3,0,71.9,57.6,ECE,BCA,"data cleaning, fastapi, git, model deployment, pandas, statistics, streamlit, tableau","Built projects using data cleaning, fastapi, git, model deployment, pandas, statistics. Completed 4 projects, 3 internships, and worked on model evaluation.",1
6.26,1,2,1,2,78.9,45.9,CSE,B.Sc,"git, statistics, xgboost","Built projects using git, statistics, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",1
6.66,2,6,1,1,85.5,64.2,EEE,M.Tech,"data cleaning, docker, fastapi, feature engineering, java, linux, machine learning, tableau, xgboost","Built projects using data cleaning, docker, fastapi, feature engineering, java, linux. Completed 6 projects, 2 internships, and worked on model evaluation.",1
8.64,0,4,1,0,68.4,64.7,AI&DS,MCA,"cloud, java, model deployment, numpy, streamlit, tableau","Built projects using cloud, java, model deployment, numpy, streamlit, tableau. Completed 4 projects, 0 internships, and worked on model evaluation.",1
7.58,2,4,3,0,58.4,50.2,AI&DS,BCA,"cloud, data cleaning, machine learning, numpy, tableau","Built projects using cloud, data cleaning, machine learning, numpy, tableau. Completed 4 projects, 2 internships, and worked on model evaluation.",1
5.69,3,1,1,0,54.7,49.7,CSE,B.Tech,"linux, machine learning, scikit-learn, xgboost","Built projects using linux, machine learning, scikit-learn, xgboost. Completed 1 projects, 3 internships, and worked on model evaluation.",0
6.8,2,3,2,0,77.2,67.6,EEE,B.Tech,"fastapi, pandas, sql","Built projects using fastapi, pandas, sql. Completed 3 projects, 2 internships, and worked on model evaluation.",1
7.7,1,5,1,2,65.5,22.0,AI&DS,BCA,"docker, feature engineering, opencv, sql, statistics","Built projects using docker, feature engineering, opencv, sql, statistics. Completed 5 projects, 1 internships, and worked on model evaluation.",0
8.91,1,5,2,0,70.5,51.4,AI&DS,MCA,"git, machine learning, numpy, power bi, python","Built projects using git, machine learning, numpy, power bi, python. Completed 5 projects, 1 internships, and worked on model evaluation.",0
6.75,1,1,3,0,67.2,100.0,ECE,MCA,"feature engineering, java, machine learning, statistics","Built projects using feature engineering, java, machine learning, statistics. Completed 1 projects, 1 internships, and worked on model evaluation.",0
7.31,0,3,2,0,71.5,57.8,IT,M.Tech,"docker, git, machine learning, power bi","Built projects using docker, git, machine learning, power bi. Completed 3 projects, 0 internships, and worked on model evaluation.",0
6.79,1,4,0,2,81.0,35.3,ECE,M.Tech,"data cleaning, docker, java, linux, machine learning, nlp, pandas, power bi, scikit-learn, tableau","Built projects using data cleaning, docker, java, linux, machine learning, nlp. Completed 4 projects, 1 internships, and worked on model evaluation.",0
6.95,0,4,3,1,82.8,69.9,IT,M.Tech,"fastapi, feature engineering, python, xgboost","Built projects using fastapi, feature engineering, python, xgboost. Completed 4 projects, 0 internships, and worked on model evaluation.",0
5.88,1,2,1,2,46.9,34.9,ECE,B.Tech,"fastapi, feature engineering, git, java, machine learning, power bi, statistics, streamlit","Built projects using fastapi, feature engineering, git, java, machine learning, power bi. Completed 2 projects, 1 internships, and worked on model evaluation.",0
9.27,1,2,2,1,74.7,51.5,AI&DS,B.Sc,"cloud, git, java, linux, model deployment, statistics, tableau","Built projects using cloud, git, java, linux, model deployment, statistics. Completed 2 projects, 1 internships, and worked on model evaluation.",0
6.35,2,4,3,0,83.0,76.4,IT,MCA,"excel, git, java, nlp, pandas, power bi, python, scikit-learn, statistics, tableau","Built projects using excel, git, java, nlp, pandas, power bi. Completed 4 projects, 2 internships, and worked on model evaluation.",0
7.61,1,1,0,0,80.5,69.7,CSE,B.Tech,"deep learning, java, model deployment, opencv, pandas, scikit-learn, sql, statistics, xgboost","Built projects using deep learning, java, model deployment, opencv, pandas, scikit-learn. Completed 1 projects, 1 internships, and worked on model evaluation.",0
6.61,1,1,0,0,40.9,64.1,ECE,B.Sc,"docker, pandas, scikit-learn, streamlit, xgboost","Built projects using docker, pandas, scikit-learn, streamlit, xgboost. Completed 1 projects, 1 internships, and worked on model evaluation.",0
6.62,1,2,1,1,67.8,60.3,ECE,B.Tech,"docker, excel, machine learning, numpy, power bi, python","Built projects using docker, excel, machine learning, numpy, power bi, python. Completed 2 projects, 1 internships, and worked on model evaluation.",0
5.89,0,1,2,1,72.0,74.3,Civil,BCA,"deep learning, docker, java, power bi, python, scikit-learn, sql, statistics","Built projects using deep learning, docker, java, power bi, python, scikit-learn. Completed 1 projects, 0 internships, and worked on model evaluation.",0
8.41,1,5,4,0,81.2,47.0,IT,M.Tech,"fastapi, feature engineering, numpy, scikit-learn, sql, streamlit","Built projects using fastapi, feature engineering, numpy, scikit-learn, sql, streamlit. Completed 5 projects, 1 internships, and worked on model evaluation.",0
5.62,0,3,2,0,67.9,45.1,ECE,MCA,"cloud, deep learning, fastapi, nlp, opencv, scikit-learn, sql, statistics","Built projects using cloud, deep learning, fastapi, nlp, opencv, scikit-learn. Completed 3 projects, 0 internships, and worked on model evaluation.",0
6.12,1,5,4,1,80.9,60.5,ECE,MCA,"linux, model deployment, nlp, numpy, opencv","Built projects using linux, model deployment, nlp, numpy, opencv. Completed 5 projects, 1 internships, and worked on model evaluation.",1
8.13,1,3,2,1,64.4,29.7,ECE,B.Sc,"git, nlp, opencv, power bi, scikit-learn, streamlit","Built projects using git, nlp, opencv, power bi, scikit-learn, streamlit. Completed 3 projects, 1 internships, and worked on model evaluation.",1
4.86,0,3,4,1,46.4,55.7,AI&DS,M.Tech,"docker, fastapi, git, statistics, streamlit, xgboost","Built projects using docker, fastapi, git, statistics, streamlit, xgboost. Completed 3 projects, 0 internships, and worked on model evaluation.",0
6.35,1,2,1,0,76.5,64.3,EEE,BCA,"feature engineering, nlp, numpy, opencv, python, streamlit, xgboost","Built projects using feature engineering, nlp, numpy, opencv, python, streamlit. Completed 2 projects, 1 internships, and worked on model evaluation.",0
5.94,1,3,1,0,59.1,62.4,ME,B.Sc,"data cleaning, deep learning, excel, fastapi, machine learning, nlp, streamlit","Built projects using data cleaning, deep learning, excel, fastapi, machine learning, nlp. Completed 3 projects, 1 internships, and worked on model evaluation.",1
5.81,0,2,4,0,83.7,63.8,CSE,MCA,"deep learning, fastapi, linux, opencv, scikit-learn, sql, streamlit","Built projects using deep learning, fastapi, linux, opencv, scikit-learn, sql. Completed 2 projects, 0 internships, and worked on model evaluation.",1
6.61,0,6,4,3,66.8,46.1,ECE,B.Sc,"feature engineering, java, opencv, power bi, python, statistics","Built projects using feature engineering, java, opencv, power bi, python, statistics. Completed 6 projects, 0 internships, and worked on model evaluation.",0
8.01,0,3,1,1,61.2,83.4,ECE,B.Sc,"feature engineering, machine learning, opencv, power bi, scikit-learn, sql, statistics","Built projects using feature engineering, machine learning, opencv, power bi, scikit-learn, sql. Completed 3 projects, 0 internships, and worked on model evaluation.",0
7.19,0,2,3,4,45.7,65.7,CSE,MCA,"machine learning, opencv, power bi, python, scikit-learn, sql, statistics","Built projects using machine learning, opencv, power bi, python, scikit-learn, sql. Completed 2 projects, 0 internships, and worked on model evaluation.",0
7.38,2,5,2,2,60.9,40.3,Civil,B.Tech,"excel, feature engineering, java, linux, machine learning, pandas, tableau","Built projects using excel, feature engineering, java, linux, machine learning, pandas. Completed 5 projects, 2 internships, and worked on model evaluation.",0
8.64,0,4,1,1,59.4,37.3,IT,BCA,"data cleaning, docker, excel, feature engineering, linux, python","Built projects using data cleaning, docker, excel, feature engineering, linux, python. Completed 4 projects, 0 internships, and worked on model evaluation.",0
7.38,1,4,1,2,79.2,65.3,IT,BCA,"cloud, docker, feature engineering, git, linux, machine learning, model deployment, nlp, power bi, python, scikit-learn, sql, streamlit, tableau","Built projects using cloud, docker, feature engineering, git, linux, machine learning. Completed 4 projects, 1 internships, and worked on model evaluation.",1
8.0,1,4,0,0,73.4,69.9,AI&DS,B.Tech,"data cleaning, feature engineering, linux, model deployment, nlp, power bi, python, statistics, streamlit","Built projects using data cleaning, feature engineering, linux, model deployment, nlp, power bi. Completed 4 projects, 1 internships, and worked on model evaluation.",1
9.22,0,3,2,0,83.5,100.0,ECE,MCA,"fastapi, linux, nlp, numpy, pandas, statistics, streamlit","Built projects using fastapi, linux, nlp, numpy, pandas, statistics. Completed 3 projects, 0 internships, and worked on model evaluation.",1
9.06,1,4,2,0,64.5,68.1,Civil,B.Tech,"cloud, java, model deployment, opencv, pandas","Built projects using cloud, java, model deployment, opencv, pandas. Completed 4 projects, 1 internships, and worked on model evaluation.",0
6.8,0,1,3,1,62.2,69.1,IT,B.Tech,"data cleaning, linux, machine learning, pandas, power bi, streamlit","Built projects using data cleaning, linux, machine learning, pandas, power bi, streamlit. Completed 1 projects, 0 internships, and worked on model evaluation.",0
8.21,0,4,0,3,67.5,43.6,ME,MCA,"cloud, feature engineering, nlp, opencv, statistics","Built projects using cloud, feature engineering, nlp, opencv, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.72,0,3,4,3,53.5,72.2,AI&DS,B.Sc,"deep learning, machine learning, numpy, pandas, xgboost","Built projects using deep learning, machine learning, numpy, pandas, xgboost. Completed 3 projects, 0 internships, and worked on model evaluation.",0
7.39,1,1,5,3,95.6,78.5,EEE,B.Sc,"data cleaning, feature engineering, git, java, machine learning, numpy","Built projects using data cleaning, feature engineering, git, java, machine learning, numpy. Completed 1 projects, 1 internships, and worked on model evaluation.",0
7.8,0,2,4,0,64.6,65.8,CSE,B.Sc,"data cleaning, docker, model deployment, statistics","Built projects using data cleaning, docker, model deployment, statistics. Completed 2 projects, 0 internships, and worked on model evaluation.",1
7.75,3,2,2,0,66.6,78.4,CSE,B.Tech,"cloud, deep learning, docker, git, scikit-learn, sql, streamlit, xgboost","Built projects using cloud, deep learning, docker, git, scikit-learn, sql. Completed 2 projects, 3 internships, and worked on model evaluation.",0
7.46,1,2,1,1,82.7,100.0,ECE,B.Tech,"excel, xgboost","Built projects using excel, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",1
6.98,0,4,2,0,85.1,53.0,EEE,B.Sc,"excel, fastapi, linux, machine learning, numpy, streamlit","Built projects using excel, fastapi, linux, machine learning, numpy, streamlit. Completed 4 projects, 0 internships, and worked on model evaluation.",1
7.2,0,3,1,0,77.9,27.8,IT,MCA,"fastapi, feature engineering, git, model deployment, opencv, scikit-learn, streamlit, tableau","Built projects using fastapi, feature engineering, git, model deployment, opencv, scikit-learn. Completed 3 projects, 0 internships, and worked on model evaluation.",0
7.44,0,6,3,1,77.9,76.5,ME,MCA,"cloud, docker, fastapi, numpy, pandas, scikit-learn, statistics","Built projects using cloud, docker, fastapi, numpy, pandas, scikit-learn. Completed 6 projects, 0 internships, and worked on model evaluation.",1
7.05,2,5,2,2,56.7,76.4,EEE,B.Tech,"cloud, data cleaning, deep learning, docker, excel, linux, machine learning, numpy, power bi, python, statistics, xgboost","Built projects using cloud, data cleaning, deep learning, docker, excel, linux. Completed 5 projects, 2 internships, and worked on model evaluation.",0
7.88,0,3,1,1,75.0,89.6,CSE,B.Tech,"excel, git, java, linux, machine learning, nlp, pandas","Built projects using excel, git, java, linux, machine learning, nlp. Completed 3 projects, 0 internships, and worked on model evaluation.",0
7.28,0,3,3,0,48.8,76.7,CSE,MCA,"cloud, data cleaning, excel, linux, model deployment, opencv, pandas, statistics","Built projects using cloud, data cleaning, excel, linux, model deployment, opencv. Completed 3 projects, 0 internships, and worked on model evaluation.",0
8.25,2,5,1,1,70.0,54.5,Civil,B.Tech,"data cleaning, docker, feature engineering, model deployment, pandas, power bi, scikit-learn, streamlit","Built projects using data cleaning, docker, feature engineering, model deployment, pandas, power bi. Completed 5 projects, 2 internships, and worked on model evaluation.",1
6.9,1,2,2,0,47.4,76.0,AI&DS,MCA,"excel, fastapi, git, java, sql, streamlit","Built projects using excel, fastapi, git, java, sql, streamlit. Completed 2 projects, 1 internships, and worked on model evaluation.",0
8.2,2,4,1,2,44.7,59.7,CSE,BCA,"cloud, deep learning, streamlit, xgboost","Built projects using cloud, deep learning, streamlit, xgboost. Completed 4 projects, 2 internships, and worked on model evaluation.",0
8.89,1,3,1,2,57.3,65.5,ECE,BCA,"python, sql","Built projects using python, sql. Completed 3 projects, 1 internships, and worked on model evaluation.",0
6.8,4,5,4,1,57.5,67.1,EEE,B.Sc,"deep learning, fastapi, linux, machine learning, nlp, power bi, scikit-learn, streamlit, tableau, xgboost","Built projects using deep learning, fastapi, linux, machine learning, nlp, power bi. Completed 5 projects, 4 internships, and worked on model evaluation.",1
6.54,2,3,5,1,67.6,78.4,ME,BCA,"deep learning, java, nlp, opencv, xgboost","Built projects using deep learning, java, nlp, opencv, xgboost. Completed 3 projects, 2 internships, and worked on model evaluation.",0
7.02,2,1,1,2,61.1,92.2,CSE,B.Sc,"git, linux, model deployment, opencv, pandas, tableau, xgboost","Built projects using git, linux, model deployment, opencv, pandas, tableau. Completed 1 projects, 2 internships, and worked on model evaluation.",1
6.03,1,2,0,0,74.0,82.0,ECE,B.Sc,"deep learning, git, java, linux, nlp, python","Built projects using deep learning, git, java, linux, nlp, python. Completed 2 projects, 1 internships, and worked on model evaluation.",0
8.93,1,4,4,0,88.8,66.6,AI&DS,M.Tech,"feature engineering, model deployment, power bi, statistics, tableau","Built projects using feature engineering, model deployment, power bi, statistics, tableau. Completed 4 projects, 1 internships, and worked on model evaluation.",1
8.85,1,6,3,0,72.1,73.3,AI&DS,MCA,"cloud, data cleaning, fastapi, java, model deployment, nlp, opencv, power bi, python, scikit-learn, sql","Built projects using cloud, data cleaning, fastapi, java, model deployment, nlp. Completed 6 projects, 1 internships, and worked on model evaluation.",1
8.27,0,1,2,2,85.6,65.5,CSE,B.Tech,"cloud, docker, feature engineering, nlp, sql, streamlit","Built projects using cloud, docker, feature engineering, nlp, sql, streamlit. Completed 1 projects, 0 internships, and worked on model evaluation.",0
7.87,1,3,2,0,56.2,81.1,ME,B.Sc,"cloud, data cleaning, docker, excel, fastapi, git, java, linux, pandas, statistics, tableau","Built projects using cloud, data cleaning, docker, excel, fastapi, git. Completed 3 projects, 1 internships, and worked on model evaluation.",0
7.35,0,4,2,1,46.9,56.9,EEE,B.Sc,"deep learning, docker, git, java, nlp, opencv, pandas, python","Built projects using deep learning, docker, git, java, nlp, opencv. Completed 4 projects, 0 internships, and worked on model evaluation.",1
7.96,2,6,6,1,94.5,63.6,EEE,B.Sc,"cloud, git, nlp, python, sql, streamlit","Built projects using cloud, git, nlp, python, sql, streamlit. Completed 6 projects, 2 internships, and worked on model evaluation.",1
5.47,0,1,1,0,72.8,68.1,IT,B.Sc,"data cleaning, deep learning, excel, model deployment, nlp, pandas, python, sql, xgboost","Built projects using data cleaning, deep learning, excel, model deployment, nlp, pandas. Completed 1 projects, 0 internships, and worked on model evaluation.",1
7.19,2,3,1,2,86.0,79.5,CSE,M.Tech,"data cleaning, model deployment, numpy, opencv, sql, xgboost","Built projects using data cleaning, model deployment, numpy, opencv, sql, xgboost. Completed 3 projects, 2 internships, and worked on model evaluation.",1
7.46,0,3,0,0,64.5,61.8,AI&DS,M.Tech,"numpy, opencv, pandas, statistics, xgboost","Built projects using numpy, opencv, pandas, statistics, xgboost. Completed 3 projects, 0 internships, and worked on model evaluation.",0
6.39,3,3,3,1,78.6,67.4,ME,BCA,"cloud, deep learning, feature engineering, linux, machine learning, model deployment, pandas, statistics, streamlit","Built projects using cloud, deep learning, feature engineering, linux, machine learning, model deployment. Completed 3 projects, 3 internships, and worked on model evaluation.",0
6.27,3,1,3,0,35.2,60.6,EEE,B.Tech,"excel, feature engineering, model deployment, opencv, scikit-learn, statistics","Built projects using excel, feature engineering, model deployment, opencv, scikit-learn, statistics. Completed 1 projects, 3 internships, and worked on model evaluation.",0
6.87,1,2,5,1,66.2,55.1,Civil,MCA,"cloud, fastapi, feature engineering, git, java, statistics, tableau","Built projects using cloud, fastapi, feature engineering, git, java, statistics. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.82,0,1,3,0,61.6,63.9,ME,B.Sc,"data cleaning, feature engineering, git, nlp, opencv, scikit-learn, streamlit, tableau","Built projects using data cleaning, feature engineering, git, nlp, opencv, scikit-learn. Completed 1 projects, 0 internships, and worked on model evaluation.",0
8.09,0,4,3,2,80.4,60.4,ECE,M.Tech,"data cleaning, linux, machine learning, nlp, power bi, sql, streamlit, tableau","Built projects using data cleaning, linux, machine learning, nlp, power bi, sql. Completed 4 projects, 0 internships, and worked on model evaluation.",0
7.27,1,6,3,2,58.8,70.1,CSE,B.Sc,"feature engineering, git, model deployment, numpy, statistics, streamlit","Built projects using feature engineering, git, model deployment, numpy, statistics, streamlit. Completed 6 projects, 1 internships, and worked on model evaluation.",1
7.94,1,2,1,1,44.7,77.3,EEE,MCA,"git, model deployment, sql, statistics, xgboost","Built projects using git, model deployment, sql, statistics, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",1
5.3,2,3,0,5,95.9,55.4,EEE,BCA,"data cleaning, excel, java, linux, nlp, power bi","Built projects using data cleaning, excel, java, linux, nlp, power bi. Completed 3 projects, 2 internships, and worked on model evaluation.",0
6.92,1,2,2,0,61.0,48.7,EEE,B.Tech,"cloud, machine learning, numpy, opencv, pandas, xgboost","Built projects using cloud, machine learning, numpy, opencv, pandas, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.2,0,2,0,1,57.1,50.1,IT,MCA,"excel, linux, power bi, sql","Built projects using excel, linux, power bi, sql. Completed 2 projects, 0 internships, and worked on model evaluation.",0
8.38,0,1,0,1,93.6,39.1,ECE,M.Tech,"data cleaning, feature engineering, java, machine learning, nlp, numpy, pandas, power bi, python","Built projects using data cleaning, feature engineering, java, machine learning, nlp, numpy. Completed 1 projects, 0 internships, and worked on model evaluation.",0
6.38,3,5,2,0,74.8,58.2,ME,MCA,"fastapi, linux, nlp, pandas","Built projects using fastapi, linux, nlp, pandas. Completed 5 projects, 3 internships, and worked on model evaluation.",0
8.65,2,4,4,3,67.6,47.7,EEE,B.Sc,"deep learning, docker, excel, fastapi, feature engineering, git, java, linux, power bi, statistics","Built projects using deep learning, docker, excel, fastapi, feature engineering, git. Completed 4 projects, 2 internships, and worked on model evaluation.",1
9.22,2,3,2,3,72.9,58.1,IT,BCA,"cloud, data cleaning, docker, model deployment, power bi, scikit-learn, tableau","Built projects using cloud, data cleaning, docker, model deployment, power bi, scikit-learn. Completed 3 projects, 2 internships, and worked on model evaluation.",0
6.14,2,8,0,0,72.9,57.2,AI&DS,B.Sc,"cloud, excel, feature engineering, java, linux, model deployment, nlp, opencv, python, streamlit","Built projects using cloud, excel, feature engineering, java, linux, model deployment. Completed 8 projects, 2 internships, and worked on model evaluation.",1
9.18,0,2,1,0,74.7,64.8,CSE,MCA,"machine learning, python, scikit-learn","Built projects using machine learning, python, scikit-learn. Completed 2 projects, 0 internships, and worked on model evaluation.",0
6.59,0,4,3,1,68.0,66.8,ME,BCA,"docker, statistics","Built projects using docker, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",0
7.37,0,1,5,0,69.3,46.9,Civil,B.Sc,"docker, fastapi, machine learning, python","Built projects using docker, fastapi, machine learning, python. Completed 1 projects, 0 internships, and worked on model evaluation.",0
6.32,1,4,2,3,49.7,86.1,IT,B.Sc,"cloud, python, statistics","Built projects using cloud, python, statistics. Completed 4 projects, 1 internships, and worked on model evaluation.",0
6.96,0,3,6,1,60.1,70.4,EEE,M.Tech,"data cleaning, fastapi, feature engineering, nlp, sql, streamlit, tableau","Built projects using data cleaning, fastapi, feature engineering, nlp, sql, streamlit. Completed 3 projects, 0 internships, and worked on model evaluation.",0
7.94,1,3,2,1,72.2,86.7,Civil,M.Tech,"docker, java, model deployment, pandas","Built projects using docker, java, model deployment, pandas. Completed 3 projects, 1 internships, and worked on model evaluation.",0
8.72,4,2,3,2,60.6,70.1,ECE,B.Tech,"docker, fastapi, machine learning, nlp, statistics, xgboost","Built projects using docker, fastapi, machine learning, nlp, statistics, xgboost. Completed 2 projects, 4 internships, and worked on model evaluation.",1
5.67,1,3,0,1,47.6,55.9,AI&DS,BCA,"fastapi, feature engineering, linux, machine learning, numpy, pandas","Built projects using fastapi, feature engineering, linux, machine learning, numpy, pandas. Completed 3 projects, 1 internships, and worked on model evaluation.",0
8.48,1,1,3,0,65.5,90.2,AI&DS,M.Tech,"opencv, pandas, scikit-learn, sql, statistics, tableau, xgboost","Built projects using opencv, pandas, scikit-learn, sql, statistics, tableau. Completed 1 projects, 1 internships, and worked on model evaluation.",0
8.41,0,2,1,0,82.0,72.8,EEE,BCA,"data cleaning, docker, excel, git, nlp, numpy, opencv, power bi, python, scikit-learn, tableau","Built projects using data cleaning, docker, excel, git, nlp, numpy. Completed 2 projects, 0 internships, and worked on model evaluation.",1
7.66,3,6,0,2,82.5,63.0,ME,B.Sc,"cloud, data cleaning, docker, linux, model deployment, nlp, pandas, statistics, tableau","Built projects using cloud, data cleaning, docker, linux, model deployment, nlp. Completed 6 projects, 3 internships, and worked on model evaluation.",1
7.55,0,6,0,0,66.1,71.3,Civil,BCA,"deep learning, feature engineering, git, numpy, pandas, scikit-learn, statistics","Built projects using deep learning, feature engineering, git, numpy, pandas, scikit-learn. Completed 6 projects, 0 internships, and worked on model evaluation.",1
6.0,1,6,1,1,70.1,62.1,CSE,B.Sc,"deep learning, java, nlp, opencv, power bi","Built projects using deep learning, java, nlp, opencv, power bi. Completed 6 projects, 1 internships, and worked on model evaluation.",0
5.75,1,0,3,2,76.6,83.1,CSE,B.Tech,"fastapi, feature engineering, git, java, nlp, numpy, tableau","Built projects using fastapi, feature engineering, git, java, nlp, numpy. Completed 0 projects, 1 internships, and worked on model evaluation.",0
7.55,1,3,1,0,61.2,88.2,ECE,B.Tech,"cloud, data cleaning, docker, fastapi, git, java, opencv, power bi, python, sql","Built projects using cloud, data cleaning, docker, fastapi, git, java. Completed 3 projects, 1 internships, and worked on model evaluation.",0
7.95,0,7,1,2,75.5,66.1,CSE,BCA,"data cleaning, deep learning, excel, fastapi, model deployment","Built projects using data cleaning, deep learning, excel, fastapi, model deployment. Completed 7 projects, 0 internships, and worked on model evaluation.",1
7.39,0,4,3,0,76.1,62.3,Civil,MCA,"cloud, excel, power bi, tableau, xgboost","Built projects using cloud, excel, power bi, tableau, xgboost. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.32,0,5,0,0,54.8,71.3,IT,BCA,"docker, python","Built projects using docker, python. Completed 5 projects, 0 internships, and worked on model evaluation.",0
8.15,4,0,1,0,87.5,49.4,ME,BCA,"deep learning, docker, numpy, pandas, power bi, python, tableau","Built projects using deep learning, docker, numpy, pandas, power bi, python. Completed 0 projects, 4 internships, and worked on model evaluation.",1
7.85,0,4,2,1,84.1,50.8,Civil,M.Tech,"cloud, git, model deployment, power bi, statistics","Built projects using cloud, git, model deployment, power bi, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.3,1,3,4,1,60.2,63.2,CSE,B.Sc,"cloud, deep learning, docker, excel, linux, statistics","Built projects using cloud, deep learning, docker, excel, linux, statistics. Completed 3 projects, 1 internships, and worked on model evaluation.",1
6.3,1,1,2,1,32.2,48.1,ME,MCA,"cloud, data cleaning, deep learning, git, linux, machine learning, model deployment, nlp, opencv, streamlit","Built projects using cloud, data cleaning, deep learning, git, linux, machine learning. Completed 1 projects, 1 internships, and worked on model evaluation.",0
8.6,1,1,3,0,42.0,84.3,IT,M.Tech,"cloud, fastapi, git, numpy, python, statistics","Built projects using cloud, fastapi, git, numpy, python, statistics. Completed 1 projects, 1 internships, and worked on model evaluation.",1
6.11,1,4,0,0,69.1,58.4,AI&DS,B.Tech,"cloud, docker, git, machine learning, nlp, numpy, scikit-learn, statistics","Built projects using cloud, docker, git, machine learning, nlp, numpy. Completed 4 projects, 1 internships, and worked on model evaluation.",0
5.79,0,1,5,0,66.7,46.5,AI&DS,MCA,"cloud, deep learning, numpy, pandas, sql, tableau","Built projects using cloud, deep learning, numpy, pandas, sql, tableau. Completed 1 projects, 0 internships, and worked on model evaluation.",0
6.4,1,7,3,3,57.5,60.6,ECE,BCA,"docker, pandas, python","Built projects using docker, pandas, python. Completed 7 projects, 1 internships, and worked on model evaluation.",0
5.68,1,4,3,0,57.6,82.6,EEE,MCA,"model deployment, power bi, statistics, tableau","Built projects using model deployment, power bi, statistics, tableau. Completed 4 projects, 1 internships, and worked on model evaluation.",0
7.42,1,0,3,0,72.7,87.0,ECE,MCA,"data cleaning, fastapi, model deployment, opencv, statistics","Built projects using data cleaning, fastapi, model deployment, opencv, statistics. Completed 0 projects, 1 internships, and worked on model evaluation.",0
5.53,1,4,5,1,81.5,63.1,EEE,B.Sc,"docker, fastapi, machine learning, opencv, scikit-learn, sql, tableau","Built projects using docker, fastapi, machine learning, opencv, scikit-learn, sql. Completed 4 projects, 1 internships, and worked on model evaluation.",1
